32,	64,	0.274,	273.275
32,	128,	0.215,	214.811
32,	256,	0.171,	173.680
32,	512,	0.141,	142.059
32,	1024,	0.143,	142.542
64,	64,	0.231,	227.525
64,	128,	0.188,	186.213
64,	256,	0.152,	150.667
64,	512,	0.151,	150.615
64,	1024,	0.151,	150.662
128,	64,	0.198,	197.774
128,	128,	0.158,	159.233
128,	256,	0.165,	167.357
128,	512,	0.169,	167.329
128,	1024,	0.167,	167.488
256,	64,	0.181,	180.554
256,	128,	0.205,	205.824
256,	256,	0.203,	205.753
256,	512,	0.206,	205.643
256,	1024,	0.207,	205.719
512,	64,	0.239,	239.785
512,	128,	0.342,	340.023
512,	256,	0.339,	339.951
512,	512,	0.345,	339.823
512,	1024,	0.337,	340.159
1024,	64,	0.434,	428.809
1024,	128,	0.428,	428.920
1024,	256,	0.433,	429.023
1024,	512,	0.422,	428.857
1024,	1024,	0.434,	428.890
