Testing cpu: 
time: 113.510 s
Testing gpu 1 stream: 
time: 0.115 s
Testing gpu 1000 streams: 
time: 91.593 s
--------------------------------
Prueba de configuraciones
tpb	bpg	t_gpu	t_gpu_streams (10000 agents, 5000 mcs)
--------------------------------
32,	64,	0.274,	273.275
32,	128,	0.215,	214.811
32,	256,	0.171,	173.680
32,	512,	0.141,	142.059
32,	1024,	0.143,	142.542
64,	64,	0.231,	227.525
64,	128,	0.188,	186.213
64,	256,	0.152,	150.667
64,	512,	0.151,	150.615
64,	1024,	0.151,	150.662
128,	64,	0.198,	197.774
128,	128,	0.158,	159.233
128,	256,	0.165,	167.357
128,	512,	0.169,	167.329
128,	1024,	0.167,	167.488
256,	64,	0.181,	180.554
256,	128,	0.205,	205.824
256,	256,	0.203,	205.753
256,	512,	0.206,	205.643
256,	1024,	0.207,	205.719
512,	64,	0.239,	239.785
512,	128,	0.342,	340.023
512,	256,	0.339,	339.951
512,	512,	0.345,	339.823
512,	1024,	0.337,	340.159
1024,	64,	0.434,	428.809
1024,	128,	0.428,	428.920
1024,	256,	0.433,	429.023
1024,	512,	0.422,	428.857
1024,	1024,	0.434,	428.890
--------------------------------
Prueba de agentes
n_agents	t_cpu	t_gpu	t_gpu_streams (5000 mcs)
--------------------------------
10,	0.354,	0.040,	30.525	
50,	0.742,	0.055,	51.358	
100,	1.329,	0.048,	52.820	
500,	5.643,	0.071,	55.620	
1000,	11.257,	0.075,	56.240	
5000,	54.486,	0.121,	65.174	
10000,	114.645,	0.156,	92.635	
50000,	553.566,	0.318,	229.718	
--------------------------------
Prueba de mcs
MCS	t_cpu	t_gpu	t_gpu_streams (10000 agents)
--------------------------------
100,	3.761,	0.010,	9.430
500,	14.061,	0.020,	16.990
1000,	25.572,	0.062,	25.891
5000,	112.763,	0.160,	92.643
10000,	209.228,	0.256,	173.246
50000,	951.005,	0.889,	797.295
